"","X","ID","SURVEY1w7","PARENTw7","BRT1Aw7","BRT2Aw7","BRT2Bw7","ARA2Aw7","ARA2Bw7","HOUSEw7","HAK2Aw7","HAK2Bw7","JOB1Aw7","JOB1Bw7","JOB4Aw7","JOB4Bw7","INCOMEw7","INCOME1w7","PAR2w7","PHY1Aw7","PHY1Bw7","PHY3Aw7","PSY1A06w7","PSY1A07w7","PSY1B01w7","PSY1B02w7","PSY1B03w7","PSY1B04w7","PSY1B05w7","PSY1B06w7","PSY1D01w7","PSY1D02w7","PSY1D03w7","PSY1D04w7","PSY1D05w7","PSY1E01w7","PSY1E02w7","PSY1E03w7","PSY1E04w7","PSY1E05w7","PSY1E06w7","PSY1E07w7","PSY1E08w7","PSY1E09w7","PSY1E10w7","PSY2A01w7","PSY2A02w7","PSY2A03w7","PSY2A04w7","PSY2A05w7","PSY2A06w7","PSY2A07w7","PSY2A08w7","PSY2A09w7","PSY2A10w7","PSY3B01w7","PSY3B02w7","PSY3B03w7","FAM1Aw7","FAM1Bw7","FAM1Cw7","FAM1Dw7","FAM3A04w7","FAM3B01w7","FAM3B02w7","FAM3B03w7","FAM3B04w7","abuse_sum"
"546",653,53225,"조사성공","어머니",2003,1978,1981,"광주광역시",2304,"단독 주택","고졸","전문대 졸","일을 하고 있다","일을 하고 있다","판매종사자","판매종사자",5000,"잘 사는 편","매우 만족한다",180,62,"매우 건강하다","전혀 그렇지 않다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","매우 그렇다","전혀 그렇지 않다","매우 그렇다","매우 그렇다","전혀 그렇지 않다","전혀 그렇지 않다","매우 그렇다","매우 그렇다","전혀 그렇지 않다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","(한)조부모+부모+자녀","친아버지+친어머니","다문화 가정이 아니다","있다","매우 그렇다",2,1,2,2,7
"547",655,53305,"조사성공","어머니",2003,1973,1973,"광주광역시",2301,"아파트","고졸","고졸","일을 하고 있다","일을 하고 있지 않다","단순노무종사자",NA,6200,"보통(중간) 수준","매우 만족한다",151,39,"건강한 편이다","그렇지 않은 편이다","전혀 그렇지 않다","그렇지 않은 편이다","전혀 그렇지 않다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","매우 그렇다","전혀 그렇지 않다","그런 편이다","매우 그렇다","그렇지 않은 편이다","전혀 그렇지 않다","매우 그렇다","매우 그렇다","전혀 그렇지 않다","매우 그렇다","그런 편이다","그런 편이다","그런 편이다","부모(아버지와 어머니)+자녀","친아버지+친어머니","다문화 가정이 아니다","있다","매우 그렇다",2,2,1,2,7
"548",656,53306,"조사성공","어머니",2003,1975,1975,"광주광역시",2301,"아파트","전문대 졸","대졸","일을 하고 있다","일을 하고 있다","서비스종사자","전문가 및 관련종사자",3000,"보통(중간) 수준","매우 만족한다",172,55,"건강한 편이다","매우 그렇다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","전혀 그렇지 않다","전혀 그렇지 않다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","매우 그렇다","그런 편이다","매우 그렇다","부모(아버지와 어머니)+자녀","친아버지+친어머니","다문화 가정이 아니다","있다","매우 그렇다",2,1,1,1,5
"549",657,53307,"조사성공","어머니",2003,1974,1976,"광주광역시",2301,"아파트","전문대 졸","전문대 졸","일을 하고 있다","일을 하고 있지 않다","장치, 기계조작 및 조립종사자",NA,4500,"보통(중간) 수준","매우 만족한다",158,49,"매우 건강하다","그렇지 않은 편이다","전혀 그렇지 않다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","그런 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","그렇지 않은 편이다","전혀 그렇지 않다","매우 그렇다","전혀 그렇지 않다","매우 그렇다","그런 편이다","전혀 그렇지 않다","전혀 그렇지 않다","매우 그렇다","전혀 그렇지 않다","전혀 그렇지 않다","매우 그렇다","매우 그렇다","그렇지 않은 편이다","매우 그렇다","부모(아버지와 어머니)+자녀","친아버지+친어머니","다문화 가정이 아니다","있다","그런 편이다",1,1,2,2,6
"550",658,53308,"조사성공","어머니",2003,1966,1973,"광주광역시",2301,"아파트","대졸","전문대 졸","일을 하고 있다","일을 하고 있다","판매종사자","판매종사자",3500,"약간 잘 사는 편","매우 만족한다",167,60,"매우 건강하다","그런 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","매우 그렇다","그런 편이다","매우 그렇다","부모(아버지와 어머니)+자녀","친아버지+친어머니","다문화 가정이 아니다","있다","그렇지 않은 편이다",2,1,1,1,5
"551",659,53309,"조사성공","어머니",2003,1962,1967,"광주광역시",2301,"아파트","고졸","고졸","일을 하고 있다","일을 하고 있다","전문가 및 관련종사자","판매종사자",3500,"보통(중간) 수준","매우 만족한다",147,36,"건강한 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","부모(아버지와 어머니)+자녀","친아버지+친어머니","다문화 가정이 아니다","있다","매우 그렇다",1,1,1,1,4
"552",660,53310,"조사성공","어머니",2003,1965,1969,"광주광역시",2301,"아파트","고졸","고졸","일을 하고 있다","일을 하고 있다","판매종사자","서비스종사자",4000,"보통(중간) 수준","매우 만족한다",154,45,"건강한 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그런 편이다","전혀 그렇지 않다","그런 편이다","그런 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","부모(아버지와 어머니)+자녀","친아버지+친어머니","다문화 가정이 아니다","있다","그런 편이다",2,2,2,2,8
"553",662,53312,"조사성공","어머니",2003,1975,1976,"세종특별자치시",2600,"아파트","대졸","전문대 졸","일을 하고 있다","일을 하고 있다","판매종사자","전문가 및 관련종사자",6000,"매우 잘 사는 편","만족하는 편이다",156,44,"매우 건강하다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","매우 그렇다","전혀 그렇지 않다","매우 그렇다","매우 그렇다","전혀 그렇지 않다","전혀 그렇지 않다","매우 그렇다","매우 그렇다","전혀 그렇지 않다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","부모(아버지와 어머니)+자녀","친아버지+친어머니","다문화 가정이 아니다","있다","매우 그렇다",2,1,1,1,5
"554",663,53313,"조사성공","아버지",2003,1970,1976,"광주광역시",2301,"아파트","고졸","고졸","일을 하고 있다","일을 하고 있지 않다","기능원 및 관련 기능 종사자",NA,3600,"보통(중간) 수준","매우 만족한다",158,52,"매우 건강하다","그렇지 않은 편이다","전혀 그렇지 않다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","그렇지 않은 편이다","전혀 그렇지 않다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","그런 편이다","부모(아버지와 어머니)+자녀","친아버지+친어머니","다문화 가정이 아니다","있다","매우 그렇다",1,1,1,1,4
"555",664,53314,"조사성공","어머니",2003,1972,1973,"광주광역시",2304,"아파트","대학원 졸","대졸","일을 하고 있다","일을 하고 있다","기능원 및 관련 기능 종사자","사무종사자",8000,"잘 사는 편","매우 만족한다",164,58,"매우 건강하다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","그렇지 않은 편이다","전혀 그렇지 않다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","매우 그렇다","그런 편이다","그런 편이다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","그런 편이다","매우 그렇다","부모(아버지와 어머니)+자녀","친아버지+친어머니","다문화 가정이 아니다","있다","매우 그렇다",4,4,4,4,16
"556",665,53315,"조사성공","어머니",2003,1965,1966,"광주광역시",2301,"아파트","고졸","고졸","일을 하고 있다","일을 하고 있지 않다","장치, 기계조작 및 조립종사자",NA,2200,"잘 사는 편","만족하는 편이다",162,60,"매우 건강하다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","그렇지 않은 편이다","그런 편이다","그렇지 않은 편이다","매우 그렇다","매우 그렇다","매우 그렇다","부모(아버지와 어머니)+자녀","친아버지+친어머니","다문화 가정이 아니다","없다","그런 편이다",2,1,1,1,5
"557",666,53316,"조사성공","어머니",2003,1976,1975,"광주광역시",2301,"아파트","고졸","고졸","일을 하고 있다","일을 하고 있다","전문가 및 관련종사자","단순노무종사자",4000,"보통(중간) 수준","만족하는 편이다",160,42,"건강한 편이다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","그런 편이다","그런 편이다","그런 편이다","전혀 그렇지 않다","그런 편이다","그런 편이다","전혀 그렇지 않다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","그런 편이다","전혀 그렇지 않다","매우 그렇다","전혀 그렇지 않다","매우 그렇다","매우 그렇다","전혀 그렇지 않다","전혀 그렇지 않다","매우 그렇다","그런 편이다","그렇지 않은 편이다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","부모(아버지와 어머니)+자녀","친아버지+친어머니","다문화 가정이 아니다","있다","매우 그렇다",1,1,1,1,4
"558",667,53317,"조사성공","어머니",2003,NA,1974,"광주광역시",2301,"아파트","전문대 졸","전문대 졸",NA,"일을 하고 있다",NA,"전문가 및 관련종사자",5500,"잘 사는 편","만족하는 편이다",155,38,"건강한 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","그런 편이다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","그런 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","그런 편이다","매우 그렇다","그런 편이다","매우 그렇다","그런 편이다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","그런 편이다","매우 그렇다","매우 그렇다","부모(아버지와 어머니)+자녀","친아버지+친어머니","다문화 가정이 아니다","있다","매우 그렇다",4,4,4,4,16
"559",669,53320,"조사성공","어머니",2003,1972,1972,"광주광역시",2301,"아파트","전문대 졸","전문대 졸","일을 하고 있다","일을 하고 있다","단순노무종사자","전문가 및 관련종사자",6500,"보통(중간) 수준","매우 만족한다",163,42,"건강한 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","부모(아버지와 어머니)+자녀","친아버지+친어머니","다문화 가정이 아니다","있다","그런 편이다",2,2,2,2,8
"560",670,53322,"조사성공","어머니",2003,1970,1975,"광주광역시",2301,"아파트","대졸","대졸","일을 하고 있다","일을 하고 있다","서비스종사자","관리자",6000,"약간 잘 사는 편","매우 만족한다",161,55,"건강한 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","그렇지 않은 편이다","전혀 그렇지 않다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","매우 그렇다","전혀 그렇지 않다","매우 그렇다","매우 그렇다","전혀 그렇지 않다","전혀 그렇지 않다","매우 그렇다","그런 편이다","전혀 그렇지 않다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","부모(아버지와 어머니)+자녀","친아버지+친어머니","다문화 가정이 아니다","있다","매우 그렇다",1,1,1,1,4
"561",671,53323,"조사성공","어머니",2003,1974,1972,"광주광역시",2301,"아파트","대졸","대졸","일을 하고 있다","일을 하고 있다","장치, 기계조작 및 조립종사자","전문가 및 관련종사자",4000,"약간 못 사는 편","매우 만족한다",164,53,"매우 건강하다","그렇지 않은 편이다","전혀 그렇지 않다","그런 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","그런 편이다","전혀 그렇지 않다","전혀 그렇지 않다","그렇지 않은 편이다","전혀 그렇지 않다","그런 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","그런 편이다","전혀 그렇지 않다","그런 편이다","매우 그렇다","그렇지 않은 편이다","전혀 그렇지 않다","매우 그렇다","그런 편이다","전혀 그렇지 않다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","부모(아버지와 어머니)+자녀","친아버지+친어머니","다문화 가정이 아니다","있다","매우 그렇다",1,1,1,1,4
"562",672,53324,"조사성공","어머니",2003,1973,1977,"광주광역시",2301,"아파트","전문대 졸","고졸","일을 하고 있다","일을 하고 있다","장치, 기계조작 및 조립종사자","기능원 및 관련 기능 종사자",3300,"약간 잘 사는 편","매우 만족한다",148,46,"건강한 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","그렇지 않은 편이다","전혀 그렇지 않다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","전혀 그렇지 않다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","매우 그렇다","매우 그렇다","매우 그렇다","부모(아버지와 어머니)+자녀","친아버지+친어머니","다문화 가정이 아니다","있다","그런 편이다",2,1,1,1,5
"563",673,53325,"조사성공","어머니",2003,1978,1977,"광주광역시",2301,"아파트","고졸","대졸","일을 하고 있다","일을 하고 있다","서비스종사자","판매종사자",4600,"보통(중간) 수준","만족하는 편이다",168,49,"건강한 편이다","그렇지 않은 편이다","전혀 그렇지 않다","그렇지 않은 편이다","전혀 그렇지 않다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","그렇지 않은 편이다","전혀 그렇지 않다","그런 편이다","그런 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","매우 그렇다","전혀 그렇지 않다","매우 그렇다","매우 그렇다","전혀 그렇지 않다","전혀 그렇지 않다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그런 편이다","매우 그렇다","부모(아버지와 어머니)+자녀","친아버지+친어머니","다문화 가정이 아니다","있다","매우 그렇다",2,2,2,2,8
"564",675,53327,"조사성공","어머니",2004,1976,1976,"광주광역시",2301,"아파트","대졸","대졸","일을 하고 있다","일을 하고 있다","사무종사자","사무종사자",6000,"보통(중간) 수준","매우 만족한다",158,45,"건강한 편이다","그런 편이다","그렇지 않은 편이다","전혀 그렇지 않다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","그런 편이다","전혀 그렇지 않다","그런 편이다","그런 편이다","전혀 그렇지 않다","전혀 그렇지 않다","그런 편이다","그런 편이다","전혀 그렇지 않다","그런 편이다","매우 그렇다","그런 편이다","매우 그렇다","부모(아버지와 어머니)+자녀","친아버지+친어머니","다문화 가정이 아니다","있다","그런 편이다",3,3,1,1,8
"565",676,53328,"조사성공","어머니",2003,1969,1970,"광주광역시",2301,"아파트","대졸","대졸","일을 하고 있다","일을 하고 있다","장치, 기계조작 및 조립종사자","서비스종사자",5600,"잘 사는 편","매우 만족한다",156,50,"매우 건강하다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","매우 그렇다","전혀 그렇지 않다","매우 그렇다","매우 그렇다","전혀 그렇지 않다","전혀 그렇지 않다","매우 그렇다","그런 편이다","전혀 그렇지 않다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","부모(아버지와 어머니)+자녀","친아버지+친어머니","다문화 가정이 아니다","있다","매우 그렇다",1,1,1,1,4
"566",677,53329,"조사성공","어머니",2003,1969,1976,"광주광역시",2301,"아파트","고졸","고졸","일을 하고 있다","일을 하고 있다","장치, 기계조작 및 조립종사자","서비스종사자",3300,"보통(중간) 수준","매우 만족한다",157,60,"건강하지 못한 편이다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","부모(아버지와 어머니)+자녀","친아버지+친어머니","다문화 가정이 아니다","있다","그런 편이다",2,2,1,1,6
"567",678,53330,"조사성공","어머니",2003,1972,1976,"광주광역시",2301,"아파트","전문대 졸","대졸","일을 하고 있다","일을 하고 있다","관리자","기능원 및 관련 기능 종사자",5500,"보통(중간) 수준","매우 만족한다",168,65,"매우 건강하다","그런 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","그런 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","전혀 그렇지 않다","전혀 그렇지 않다","매우 그렇다","그런 편이다","전혀 그렇지 않다","그런 편이다","매우 그렇다","매우 그렇다","매우 그렇다","부모(아버지와 어머니)+자녀","친아버지+친어머니","다문화 가정이 아니다","있다","매우 그렇다",2,1,1,1,5
"568",679,53401,"조사성공","어머니",2003,1970,1976,"광주광역시",2302,"아파트","고졸","고졸","일을 하고 있다","일을 하고 있다","서비스종사자","단순노무종사자",3500,"잘 사는 편","매우 만족한다",164,69,"매우 건강하다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","매우 그렇다","전혀 그렇지 않다","매우 그렇다","매우 그렇다","전혀 그렇지 않다","전혀 그렇지 않다","매우 그렇다","그런 편이다","전혀 그렇지 않다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","부모(아버지와 어머니)+자녀","친아버지+친어머니","다문화 가정이 아니다","있다","매우 그렇다",1,1,1,1,4
